operator,inout_travelling,network_type,rating,calldrop_category,latitude,longitude,state_name,month,has_valid_coordinates,has_valid_state,network_type_known
Airtel,Outdoor,4G,5,Satisfactory,23.37989063,85.31013606,Jharkhand,January,True,True,True
VI,Indoor,Unknown,5,Satisfactory,19.0651003,73.0024219,Maharashtra,January,True,True,False
RJio,Indoor,4G,5,Satisfactory,22.67705413,88.35144519,West Bengal,January,True,True,True
Airtel,Indoor,4G,1,Poor Voice Quality,13.75727363,79.63884002,Andhra Pradesh,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.11559563,78.28177975,Uttarakhand,January,True,True,False
Airtel,Outdoor,4G,2,Poor Voice Quality,30.11559563,78.28177975,Uttarakhand,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.06852712,77.5598932,Karnataka,January,True,True,True
VI,Indoor,Unknown,5,Satisfactory,19.0651177,73.0023855,Maharashtra,January,True,True,False
Airtel,Indoor,4G,3,Satisfactory,30.11559563,78.28177975,Uttarakhand,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.072605,77.5601906,Karnataka,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.0726085,77.5601884,Karnataka,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.9704524,72.8342762,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.9727006,72.83333738,Maharashtra,January,True,True,True
RJio,Indoor,4G,1,Poor Voice Quality,17.45214,78.396905,Telangana,January,True,True,True
RJio,Indoor,4G,3,Satisfactory,19.20425511,72.8494641,Maharashtra,January,True,True,True
Airtel,Travelling,4G,5,Satisfactory,12.95138954,77.49539035,Karnataka,January,True,True,True
Airtel,Outdoor,4G,5,Satisfactory,12.90717602,77.47524308,Karnataka,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,12.9565408,77.4895909,Karnataka,January,True,True,True
VI,Outdoor,Unknown,5,Satisfactory,19.0651362,73.00237127,Maharashtra,January,True,True,False
VI,Travelling,4G,4,Satisfactory,19.01733461,72.8429347,Maharashtra,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.1044266,78.2968989,Uttarakhand,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,12.9358431,77.6945821,Karnataka,January,True,True,False
RJio,Indoor,4G,5,Satisfactory,17.45214,78.396905,Telangana,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,12.9358035,77.694592,Karnataka,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97241302,72.83342488,Maharashtra,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,12.9566964,77.489702,Karnataka,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,12.9361429,77.69414133,Karnataka,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.1048096,78.2876544,Uttarakhand,January,True,True,True
Airtel,Indoor,4G,1,Poor Voice Quality,27.2369421,74.1317433,Rajasthan,January,True,True,True
Airtel,Indoor,4G,1,Poor Voice Quality,27.23708921,74.1317101,Rajasthan,January,True,True,True
RJio,Indoor,4G,1,Call Dropped,27.23708921,74.1317101,Rajasthan,January,True,True,True
Airtel,Outdoor,Unknown,3,Satisfactory,30.1048056,78.2876553,Uttarakhand,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,13.07256148,77.56004498,Karnataka,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,12.9358292,77.6945547,Karnataka,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,12.9358401,77.6945734,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,12.98237239,77.69308782,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.9358841,77.6945754,Karnataka,January,True,True,False
VI,Travelling,4G,4,Satisfactory,19.01679376,72.83726094,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,19.01679376,72.83726094,Maharashtra,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,12.9358353,77.6945753,Karnataka,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.9704009,72.8342639,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97041,72.8342653,Maharashtra,January,True,True,True
Airtel,Outdoor,4G,3,Satisfactory,30.1050908,78.2872992,Uttarakhand,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,13.06846902,77.55981676,Karnataka,January,True,True,False
Airtel,Outdoor,4G,3,Satisfactory,30.1026639,78.2880109,Uttarakhand,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.1048168,78.2876591,Uttarakhand,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,13.05951278,77.55931811,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,13.05598508,77.55761921,Karnataka,January,True,True,False
Airtel,Indoor,2G,5,Satisfactory,12.9358273,77.6945787,Karnataka,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97048028,72.8342845,Maharashtra,January,True,True,True
RJio,Travelling,4G,5,Satisfactory,22.6369476,88.351102,West Bengal,January,True,True,True
Airtel,Outdoor,Unknown,5,Satisfactory,23.37980392,85.31007781,Jharkhand,January,True,True,False
RJio,Indoor,4G,4,Satisfactory,16.76660667,78.14568167,Telangana,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,12.935859,77.694485,Karnataka,January,True,True,False
Airtel,Outdoor,4G,3,Satisfactory,30.1048193,78.2876595,Uttarakhand,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.1048201,78.287656,Uttarakhand,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,10.80925486,76.05666276,Kerala,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,13.072603,77.5601985,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.9358661,77.6945792,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.9339342,77.6934481,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,13.04754098,77.57565724,Karnataka,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,13.01967982,77.65471703,Karnataka,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.9704128,72.8342608,Maharashtra,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,15.871435,74.50657,Karnataka,January,True,True,True
Airtel,Outdoor,Unknown,3,Satisfactory,30.1155309,78.2817728,Uttarakhand,January,True,True,False
Airtel,Indoor,4G,3,Satisfactory,30.1058743,78.2877045,Uttarakhand,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.970405,72.8342713,Maharashtra,January,True,True,True
Airtel,Travelling,Unknown,5,Satisfactory,23.37984252,85.3101067,Jharkhand,January,True,True,False
Airtel,Outdoor,Unknown,5,Satisfactory,23.37986658,85.31013534,Jharkhand,January,True,True,False
VI,Indoor,4G,4,Satisfactory,18.9704008,72.8342589,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.9704043,72.8342627,Maharashtra,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.06853782,77.55977004,Karnataka,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.1043528,78.2890234,Uttarakhand,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.1043528,78.2890234,Uttarakhand,January,True,True,False
Airtel,Outdoor,Unknown,3,Satisfactory,30.1047912,78.2876716,Uttarakhand,January,True,True,False
RJio,Travelling,4G,5,Satisfactory,27.998138,74.9571009,Rajasthan,January,True,True,True
Airtel,Outdoor,4G,5,Satisfactory,12.95837073,77.49800202,Karnataka,January,True,True,True
Airtel,Travelling,Unknown,5,Satisfactory,12.9587233,77.4942523,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.8879722,77.6719154,Karnataka,January,True,True,False
Airtel,Outdoor,4G,5,Satisfactory,12.96229917,77.57588374,Karnataka,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.1073243,78.2888518,Uttarakhand,January,True,True,True
VI,Indoor,4G,5,Satisfactory,18.4582244,73.786171,Maharashtra,January,True,True,True
VI,Indoor,4G,5,Satisfactory,18.4581981,73.7861347,Maharashtra,January,True,True,True
VI,Indoor,4G,5,Satisfactory,18.4582598,73.7861479,Maharashtra,January,True,True,True
Airtel,Outdoor,Unknown,5,Satisfactory,23.37976844,85.31013031,Jharkhand,January,True,True,False
VI,Indoor,4G,4,Satisfactory,18.9705274,72.8343521,Maharashtra,January,True,True,True
Airtel,Outdoor,4G,3,Satisfactory,30.1047769,78.2877034,Uttarakhand,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.1047769,78.2877034,Uttarakhand,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.9704041,72.8342626,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.9704819,72.834325,Maharashtra,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.07124465,77.55891881,Karnataka,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,13.07124465,77.55891881,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,13.07124465,77.55891881,Karnataka,January,True,True,False
VI,Indoor,4G,4,Satisfactory,18.9704035,72.8342703,Maharashtra,January,True,True,True
VI,Travelling,4G,5,Satisfactory,15.43987153,73.90141468,Goa,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.0722638,77.5600705,Karnataka,January,True,True,True
Airtel,Outdoor,Unknown,1,Poor Voice Quality,30.104823,78.2876542,Uttarakhand,January,True,True,False
Airtel,Outdoor,4G,1,Poor Voice Quality,30.104823,78.2876542,Uttarakhand,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,13.07334021,77.56110627,Karnataka,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,15.879545,74.697935,Karnataka,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.07334021,77.56110627,Karnataka,January,True,True,True
Airtel,Indoor,4G,1,Call Dropped,13.07334021,77.56110627,Karnataka,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.07259514,77.55980373,Karnataka,January,True,True,True
VI,Indoor,4G,5,Satisfactory,15.55424775,73.75205048,Goa,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.11554,78.2818173,Uttarakhand,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.11554,78.2818173,Uttarakhand,January,True,True,False
VI,Travelling,4G,4,Satisfactory,19.01679705,72.837231,Maharashtra,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,19.01679705,72.837231,Maharashtra,January,True,True,True
Airtel,Outdoor,Unknown,5,Satisfactory,23.3798788,85.3101436,Jharkhand,January,True,True,False
Airtel,Indoor,2G,5,Satisfactory,12.9358272,77.6946172,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,12.9358999,77.694599,Karnataka,January,True,True,False
VI,Indoor,4G,4,Satisfactory,18.96980696,72.83513931,Maharashtra,January,True,True,True
Airtel,Travelling,4G,5,Satisfactory,23.3798696,85.3101448,Jharkhand,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.1075542,78.2997245,Uttarakhand,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.93577772,77.69467557,Karnataka,January,True,True,False
Airtel,Travelling,4G,5,Satisfactory,23.3798674,85.3101424,Jharkhand,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,15.87071833,74.50573667,Karnataka,January,True,True,True
Airtel,Travelling,4G,5,Satisfactory,23.379894,85.3101399,Jharkhand,January,True,True,True
VI,Travelling,4G,5,Satisfactory,15.48426903,73.80814039,Goa,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97069767,72.83375752,Maharashtra,January,True,True,True
VI,Indoor,4G,5,Satisfactory,15.7318621,73.8678563,Goa,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,13.06826846,77.56009274,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,13.06846204,77.5598832,Karnataka,January,True,True,False
VI,Indoor,4G,5,Satisfactory,15.732659,73.8673678,Goa,January,True,True,True
VI,Indoor,4G,5,Satisfactory,15.7318941,73.8682988,Goa,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.06490729,77.55950148,Karnataka,January,True,True,True
Airtel,Travelling,Unknown,5,Satisfactory,23.3798741,85.3101402,Jharkhand,January,True,True,False
Airtel,Travelling,Unknown,5,Satisfactory,23.37992159,85.31009008,Jharkhand,January,True,True,False
VI,Indoor,4G,4,Satisfactory,19.01670188,72.83752121,Maharashtra,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,13.00266659,77.66326103,Karnataka,January,True,True,False
VI,Indoor,4G,4,Satisfactory,19.0077364,72.83669231,Maharashtra,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.1151016,78.2823166,Uttarakhand,January,True,True,True
Airtel,Travelling,Unknown,5,Satisfactory,23.3798592,85.3101361,Jharkhand,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.94832993,77.69923804,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.97476783,77.69751527,Karnataka,January,True,True,False
VI,Indoor,4G,5,Satisfactory,18.4577196,73.7859862,Maharashtra,January,True,True,True
VI,Indoor,4G,5,Satisfactory,18.4582585,73.786159,Maharashtra,January,True,True,True
VI,Indoor,4G,5,Satisfactory,18.4582635,73.7861628,Maharashtra,January,True,True,True
VI,Indoor,4G,5,Satisfactory,18.4579735,73.7860697,Maharashtra,January,True,True,True
VI,Indoor,4G,5,Satisfactory,18.45810808,73.78552124,Maharashtra,January,True,True,True
VI,Indoor,4G,5,Satisfactory,18.5081786,73.8335964,Maharashtra,January,True,True,True
Airtel,Travelling,Unknown,5,Satisfactory,13.03970474,77.62463318,Karnataka,January,True,True,False
RJio,Outdoor,4G,5,Satisfactory,21.30501,80.48025167,Chhattisgarh,January,True,True,True
RJio,Indoor,4G,1,Call Dropped,27.23706041,74.13177109,Rajasthan,January,True,True,True
Airtel,Indoor,4G,2,Poor Voice Quality,30.1047456,78.287732,Uttarakhand,January,True,True,True
Airtel,Indoor,4G,1,Call Dropped,13.06845145,77.55983677,Karnataka,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.06845145,77.55983677,Karnataka,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.05846001,77.55914837,Karnataka,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,13.05846001,77.55914837,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,12.99850374,77.66356845,Karnataka,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,12.99850374,77.66356845,Karnataka,January,True,True,True
Airtel,Outdoor,4G,5,Satisfactory,12.6217814,80.1806014,Tamil Nadu,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.1048118,78.2876647,Uttarakhand,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97393902,72.83406646,Maharashtra,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.1154858,78.2819785,Uttarakhand,January,True,True,False
Airtel,Travelling,4G,5,Satisfactory,23.37986681,85.31013915,Jharkhand,January,True,True,True
Airtel,Outdoor,Unknown,5,Satisfactory,23.37986681,85.31013915,Jharkhand,January,True,True,False
VI,Travelling,4G,4,Satisfactory,18.97393902,72.83406646,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.98441629,72.83292299,Maharashtra,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.1155279,78.2817824,Uttarakhand,January,True,True,False
Airtel,Outdoor,4G,3,Satisfactory,30.1047942,78.287692,Uttarakhand,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,15.870945,74.505365,Karnataka,January,True,True,True
Airtel,Indoor,4G,1,Call Dropped,13.072603,77.5601881,Karnataka,January,True,True,True
Airtel,Indoor,2G,1,Call Dropped,13.0726042,77.560188,Karnataka,January,True,True,True
Airtel,Indoor,4G,1,Call Dropped,13.0726104,77.5601846,Karnataka,January,True,True,True
Airtel,Indoor,4G,4,Satisfactory,13.0726061,77.5601958,Karnataka,January,True,True,True
RJio,Outdoor,4G,5,Satisfactory,21.30492833,80.48019833,Chhattisgarh,January,True,True,True
RJio,Travelling,4G,5,Satisfactory,21.30492833,80.48019833,Chhattisgarh,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,15.87118833,74.5054,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,2,Poor Voice Quality,30.115538,78.2887226,Uttarakhand,January,True,True,False
Airtel,Travelling,4G,3,Call Dropped,19.10701082,72.89452699,Maharashtra,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,19.0167235,72.8369752,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,19.0178749,72.84321013,Maharashtra,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,19.0178749,72.84321013,Maharashtra,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,18.97210009,72.83356854,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97210009,72.83356854,Maharashtra,January,True,True,True
Airtel,Outdoor,Unknown,3,Satisfactory,30.1048095,78.2876698,Uttarakhand,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,13.04523588,77.55677237,Karnataka,January,True,True,False
Airtel,Outdoor,4G,2,Call Dropped,12.93570194,77.69497502,Karnataka,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,12.9361905,77.69469307,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,1,Call Dropped,12.9358438,77.6949,Karnataka,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,12.9360085,77.6945616,Karnataka,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,12.9361448,77.6945817,Karnataka,January,True,True,True
Airtel,Travelling,Unknown,5,Satisfactory,13.04335447,77.59885725,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,13.06845265,77.55981101,Karnataka,January,True,True,False
RJio,Indoor,4G,1,Poor Voice Quality,19.22167577,72.84195673,Maharashtra,January,True,True,True
RJio,Indoor,4G,4,Satisfactory,19.22167577,72.84195673,Maharashtra,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,13.07093138,77.56033329,Karnataka,January,True,True,False
Airtel,Outdoor,Unknown,5,Satisfactory,12.9566327,77.4896206,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,13.05979695,77.55886277,Karnataka,January,True,True,False
VI,Indoor,4G,5,Satisfactory,18.5079792,73.8349922,Maharashtra,January,True,True,True
VI,Travelling,4G,5,Satisfactory,18.4922964,73.8285066,Maharashtra,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,12.96954799,77.70072203,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.9358904,77.694563,Karnataka,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,12.9342913,77.6932403,Karnataka,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97627642,72.83284954,Maharashtra,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,18.9848566,72.83293825,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97053597,72.83431947,Maharashtra,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,15.870819,74.5052728,Karnataka,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.0725968,77.5601969,Karnataka,January,True,True,True
Airtel,Outdoor,4G,1,Poor Voice Quality,30.1047947,78.2876761,Uttarakhand,January,True,True,True
Airtel,Outdoor,4G,3,Satisfactory,30.1048212,78.2876553,Uttarakhand,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97074108,72.83367895,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97074754,72.83366816,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97046683,72.83444097,Maharashtra,January,True,True,True
VI,Outdoor,Unknown,5,Satisfactory,19.0755401,73.01395972,Maharashtra,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,14.02786089,75.93204846,Karnataka,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,14.02777702,75.93199265,Karnataka,January,True,True,True
Airtel,Outdoor,4G,5,Satisfactory,23.37979835,85.30964368,Jharkhand,January,True,True,True
Airtel,Outdoor,Unknown,5,Satisfactory,23.3798588,85.3101026,Jharkhand,January,True,True,False
RJio,Indoor,4G,5,Satisfactory,15.87142333,74.50535,Karnataka,January,True,True,True
VI,Indoor,4G,5,Satisfactory,18.4582556,73.7861999,Maharashtra,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.1048148,78.287665,Uttarakhand,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,18.9704283,72.8342719,Maharashtra,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,18.9704821,72.8336002,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97077072,72.83370281,Maharashtra,January,True,True,True
Airtel,Outdoor,4G,3,Satisfactory,30.1048218,78.2876539,Uttarakhand,January,True,True,True
RJio,Indoor,4G,1,Poor Voice Quality,27.2355125,74.1307859,Rajasthan,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,18.9706296,72.8337243,Maharashtra,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,14.02802398,75.93189498,Karnataka,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,14.02698903,75.92884996,Karnataka,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,12.9358537,77.6945386,Karnataka,January,True,True,True
VI,Travelling,4G,4,Satisfactory,19.01650019,72.83715511,Maharashtra,January,True,True,True
Airtel,Outdoor,4G,5,Satisfactory,23.3798773,85.3101159,Jharkhand,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.10484772,78.28763594,Uttarakhand,January,True,True,True
Airtel,Outdoor,4G,3,Satisfactory,30.10484772,78.28763594,Uttarakhand,January,True,True,True
Airtel,Outdoor,Unknown,3,Satisfactory,30.10484772,78.28763594,Uttarakhand,January,True,True,False
Airtel,Outdoor,4G,5,Satisfactory,23.37982483,85.31002371,Jharkhand,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.10484772,78.28763594,Uttarakhand,January,True,True,False
VI,Outdoor,4G,4,Satisfactory,18.97337836,72.83375901,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97337836,72.83375901,Maharashtra,January,True,True,True
VI,Outdoor,Unknown,5,Satisfactory,19.06541928,73.00273073,Maharashtra,January,True,True,False
Airtel,Outdoor,4G,5,Satisfactory,23.37993849,85.30996376,Jharkhand,January,True,True,True
VI,Outdoor,Unknown,5,Satisfactory,19.06541541,73.00282649,Maharashtra,January,True,True,False
Airtel,Outdoor,Unknown,5,Satisfactory,23.37964207,85.31013876,Jharkhand,January,True,True,False
VI,Indoor,4G,4,Satisfactory,18.9704353,72.8342754,Maharashtra,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.9704196,72.8342681,Maharashtra,January,True,True,True
Airtel,Travelling,4G,5,Satisfactory,23.37972797,85.31003617,Jharkhand,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.99870252,72.83746093,Maharashtra,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,18.99870252,72.83746093,Maharashtra,January,True,True,True
Airtel,Travelling,Unknown,5,Satisfactory,23.37982222,85.31009004,Jharkhand,January,True,True,False
VI,Outdoor,Unknown,5,Satisfactory,19.07183642,72.99661149,Maharashtra,January,True,True,False
Airtel,Travelling,Unknown,5,Satisfactory,23.37978716,85.3100823,Jharkhand,January,True,True,False
Airtel,Travelling,4G,5,Satisfactory,23.38206123,85.31252927,Jharkhand,January,True,True,True
RJio,Indoor,4G,1,Poor Voice Quality,25.438872,81.796643,Uttar Pradesh,January,True,True,True
Airtel,Outdoor,4G,5,Satisfactory,23.37978191,85.31012807,Jharkhand,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,12.9358187,77.6945649,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.9359167,77.6946615,Karnataka,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,13.05591051,77.55822927,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,12.9360633,77.6946356,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.93534576,77.69332435,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,13.07022559,77.56011319,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,13.0619862,77.5589641,Karnataka,January,True,True,False
Airtel,Indoor,2G,5,Satisfactory,12.9358732,77.6945771,Karnataka,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,12.9360549,77.6946446,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,13.06111459,77.55903436,Karnataka,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,13.04504867,77.55673296,Karnataka,January,True,True,True
Airtel,Outdoor,4G,5,Satisfactory,23.3496549,85.3183875,Jharkhand,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,12.99157597,77.68723513,Karnataka,January,True,True,True
